areaCode,areaName,areaType,date,hospitalCases,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2021-10-18,7749,
K02000001,United Kingdom,overview,2021-10-17,7398,
K02000001,United Kingdom,overview,2021-10-16,7136,
K02000001,United Kingdom,overview,2021-10-15,7114,
K02000001,United Kingdom,overview,2021-10-14,7110,
K02000001,United Kingdom,overview,2021-10-13,7061,
K02000001,United Kingdom,overview,2021-10-12,7056,
K02000001,United Kingdom,overview,2021-10-11,7039,
K02000001,United Kingdom,overview,2021-10-10,6889,
K02000001,United Kingdom,overview,2021-10-09,6720,
K02000001,United Kingdom,overview,2021-10-08,6779,52
K02000001,United Kingdom,overview,2021-10-07,6803,86
K02000001,United Kingdom,overview,2021-10-06,6859,79
K02000001,United Kingdom,overview,2021-10-05,6874,91
K02000001,United Kingdom,overview,2021-10-04,6799,87
K02000001,United Kingdom,overview,2021-10-03,6610,91
K02000001,United Kingdom,overview,2021-10-02,6454,106
K02000001,United Kingdom,overview,2021-10-01,6603,117
K02000001,United Kingdom,overview,2021-09-30,6773,121
K02000001,United Kingdom,overview,2021-09-29,6919,131
K02000001,United Kingdom,overview,2021-09-28,7034,106
K02000001,United Kingdom,overview,2021-09-27,7053,119
K02000001,United Kingdom,overview,2021-09-26,6821,105
K02000001,United Kingdom,overview,2021-09-25,6961,127
K02000001,United Kingdom,overview,2021-09-24,6917,135
K02000001,United Kingdom,overview,2021-09-23,7169,143
K02000001,United Kingdom,overview,2021-09-22,7419,153
K02000001,United Kingdom,overview,2021-09-21,7627,133
K02000001,United Kingdom,overview,2021-09-20,7799,152
K02000001,United Kingdom,overview,2021-09-19,7747,131
K02000001,United Kingdom,overview,2021-09-18,7696,133
K02000001,United Kingdom,overview,2021-09-17,7906,179
K02000001,United Kingdom,overview,2021-09-16,8113,156
K02000001,United Kingdom,overview,2021-09-15,8397,161
K02000001,United Kingdom,overview,2021-09-14,8393,158
K02000001,United Kingdom,overview,2021-09-13,8472,114
K02000001,United Kingdom,overview,2021-09-12,8249,139
K02000001,United Kingdom,overview,2021-09-11,8139,142
K02000001,United Kingdom,overview,2021-09-10,8311,147
K02000001,United Kingdom,overview,2021-09-09,8140,175
K02000001,United Kingdom,overview,2021-09-08,8131,140
K02000001,United Kingdom,overview,2021-09-07,7976,157
K02000001,United Kingdom,overview,2021-09-06,8034,151
K02000001,United Kingdom,overview,2021-09-05,7748,154
K02000001,United Kingdom,overview,2021-09-04,7552,138
K02000001,United Kingdom,overview,2021-09-03,7667,147
K02000001,United Kingdom,overview,2021-09-02,7618,134
K02000001,United Kingdom,overview,2021-09-01,7678,115
K02000001,United Kingdom,overview,2021-08-31,7675,118
K02000001,United Kingdom,overview,2021-08-30,7336,108
K02000001,United Kingdom,overview,2021-08-29,7107,134
K02000001,United Kingdom,overview,2021-08-28,6976,131
K02000001,United Kingdom,overview,2021-08-27,7081,134
K02000001,United Kingdom,overview,2021-08-26,7029,120
K02000001,United Kingdom,overview,2021-08-25,6983,103
K02000001,United Kingdom,overview,2021-08-24,6959,115
K02000001,United Kingdom,overview,2021-08-23,7017,118
K02000001,United Kingdom,overview,2021-08-22,6747,125
K02000001,United Kingdom,overview,2021-08-21,6529,112
K02000001,United Kingdom,overview,2021-08-20,6518,124
K02000001,United Kingdom,overview,2021-08-19,6507,112
K02000001,United Kingdom,overview,2021-08-18,6464,109
K02000001,United Kingdom,overview,2021-08-17,6406,97
K02000001,United Kingdom,overview,2021-08-16,6382,84
K02000001,United Kingdom,overview,2021-08-15,6045,89
K02000001,United Kingdom,overview,2021-08-14,5882,102
K02000001,United Kingdom,overview,2021-08-13,5986,96
K02000001,United Kingdom,overview,2021-08-12,5958,101
K02000001,United Kingdom,overview,2021-08-11,6003,85
K02000001,United Kingdom,overview,2021-08-10,6019,83
K02000001,United Kingdom,overview,2021-08-09,6017,83
K02000001,United Kingdom,overview,2021-08-08,5856,82
K02000001,United Kingdom,overview,2021-08-07,5702,105
K02000001,United Kingdom,overview,2021-08-06,5751,95
K02000001,United Kingdom,overview,2021-08-05,5754,97
K02000001,United Kingdom,overview,2021-08-04,5791,91
K02000001,United Kingdom,overview,2021-08-03,6005,78
K02000001,United Kingdom,overview,2021-08-02,6214,91
K02000001,United Kingdom,overview,2021-08-01,5981,96
K02000001,United Kingdom,overview,2021-07-31,5957,89
K02000001,United Kingdom,overview,2021-07-30,6018,100
K02000001,United Kingdom,overview,2021-07-29,5985,85
K02000001,United Kingdom,overview,2021-07-28,6106,81
K02000001,United Kingdom,overview,2021-07-27,6095,74
K02000001,United Kingdom,overview,2021-07-26,6003,76
