areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2021-10-17,138627
K02000001,United Kingdom,overview,2021-10-16,138620
K02000001,United Kingdom,overview,2021-10-15,138603
K02000001,United Kingdom,overview,2021-10-14,138547
K02000001,United Kingdom,overview,2021-10-13,138450
K02000001,United Kingdom,overview,2021-10-12,138352
K02000001,United Kingdom,overview,2021-10-11,138253
K02000001,United Kingdom,overview,2021-10-10,138141
K02000001,United Kingdom,overview,2021-10-09,138057
K02000001,United Kingdom,overview,2021-10-08,137950
K02000001,United Kingdom,overview,2021-10-07,137843
K02000001,United Kingdom,overview,2021-10-06,137726
K02000001,United Kingdom,overview,2021-10-05,137625
K02000001,United Kingdom,overview,2021-10-04,137507
K02000001,United Kingdom,overview,2021-10-03,137409
K02000001,United Kingdom,overview,2021-10-02,137313
K02000001,United Kingdom,overview,2021-10-01,137208
K02000001,United Kingdom,overview,2021-09-30,137085
K02000001,United Kingdom,overview,2021-09-29,136973
K02000001,United Kingdom,overview,2021-09-28,136851
K02000001,United Kingdom,overview,2021-09-27,136747
K02000001,United Kingdom,overview,2021-09-26,136633
K02000001,United Kingdom,overview,2021-09-25,136537
K02000001,United Kingdom,overview,2021-09-24,136413
K02000001,United Kingdom,overview,2021-09-23,136289
K02000001,United Kingdom,overview,2021-09-22,136152
K02000001,United Kingdom,overview,2021-09-21,136007
K02000001,United Kingdom,overview,2021-09-20,135886
K02000001,United Kingdom,overview,2021-09-19,135752
K02000001,United Kingdom,overview,2021-09-18,135626
K02000001,United Kingdom,overview,2021-09-17,135504
K02000001,United Kingdom,overview,2021-09-16,135333
K02000001,United Kingdom,overview,2021-09-15,135183
K02000001,United Kingdom,overview,2021-09-14,135041
K02000001,United Kingdom,overview,2021-09-13,134887
K02000001,United Kingdom,overview,2021-09-12,134777
K02000001,United Kingdom,overview,2021-09-11,134638
K02000001,United Kingdom,overview,2021-09-10,134501
K02000001,United Kingdom,overview,2021-09-09,134357
K02000001,United Kingdom,overview,2021-09-08,134195
K02000001,United Kingdom,overview,2021-09-07,134056
K02000001,United Kingdom,overview,2021-09-06,133901
K02000001,United Kingdom,overview,2021-09-05,133764
K02000001,United Kingdom,overview,2021-09-04,133609
K02000001,United Kingdom,overview,2021-09-03,133477
K02000001,United Kingdom,overview,2021-09-02,133330
K02000001,United Kingdom,overview,2021-09-01,133203
K02000001,United Kingdom,overview,2021-08-31,133087
K02000001,United Kingdom,overview,2021-08-30,132971
K02000001,United Kingdom,overview,2021-08-29,132865
K02000001,United Kingdom,overview,2021-08-28,132737
K02000001,United Kingdom,overview,2021-08-27,132615
K02000001,United Kingdom,overview,2021-08-26,132488
K02000001,United Kingdom,overview,2021-08-25,132373
K02000001,United Kingdom,overview,2021-08-24,132272
K02000001,United Kingdom,overview,2021-08-23,132159
K02000001,United Kingdom,overview,2021-08-22,132046
